CsvFileVersion,11.0[Brief]
ApplicationNameAndVersion,Wave Recorder 1.0.7042 (7042)
SessionStartDateTime,2023-04-05T10:51:43.9615640-07:00
Properties.UserId,d75db12c-d141-4019-8af4-7e516102ed35
Properties.Email,ntfury@arizona.edu
AlgorithmProtocolVersion,DL1.10
EegSignalProcessor.Id,"A1"
MobileDevice.Manufacturer,"Apple"
MobileDevice.Model,"iPhone 12 Pro"
MobileDevice.DeviceType,"Physical"
MobileDevice.VersionString,"16.3.1"

Data Begin: 2023-04-05T10:51:44.0316600-07:00; WAVE-1|94740d5a-283b-5ebf-ebfa-e5684a844f0f; LogicState: Default1
Settings.Version,"4.0"
Time,Seconds,delta%,theta%,alpha%,sigma%,High-beta,SleepStage,EegQuality,Attributes
2023-04-05T10:51:48,4,13%,11%,10%,11%,54%,Awake,0,
2023-04-05T10:51:52,8,12%,21%,13%,11%,44%,Awake,0,
2023-04-05T10:51:56,12,37%,27%,12%,6%,18%,Awake,0,
2023-04-05T10:52:00,16,25%,15%,14%,10%,37%,Awake,0,
2023-04-05T10:52:04,20,26%,24%,11%,8%,31%,Awake,0,
2023-04-05T10:52:08,24,30%,25%,16%,9%,20%,Awake,0,
2023-04-05T10:52:12,28,15%,18%,19%,12%,36%,Awake,0,
2023-04-05T10:52:16,32,24%,26%,10%,10%,29%,Awake,0,
2023-04-05T10:52:20,36,28%,14%,11%,8%,39%,Awake,0,
2023-04-05T10:52:24,40,26%,16%,13%,10%,35%,Awake,0,
2023-04-05T10:52:28,44,19%,18%,12%,13%,38%,Awake,0,
2023-04-05T10:52:32,48,14%,16%,13%,10%,48%,Awake,0,
2023-04-05T10:52:36,52,28%,16%,12%,13%,30%,Awake,0,
2023-04-05T10:52:40,56,13%,15%,12%,10%,50%,Awake,0,
2023-04-05T10:52:44,60,8%,16%,11%,13%,52%,Awake,0,
2023-04-05T10:52:48,64,17%,16%,12%,14%,41%,Awake,0,
2023-04-05T10:52:52,68,23%,18%,11%,12%,36%,Awake,0,
2023-04-05T10:52:56,72,23%,22%,10%,10%,35%,Awake,0,
2023-04-05T10:53:00,76,15%,20%,22%,14%,29%,Awake,0,
2023-04-05T10:53:04,80,14%,12%,9%,10%,55%,Awake,0,
2023-04-05T10:53:08,84,19%,20%,13%,10%,39%,Awake,0,
2023-04-05T10:53:12,88,38%,20%,7%,6%,29%,Awake,0,
2023-04-05T10:53:16,92,11%,13%,11%,13%,51%,Awake,0,
2023-04-05T10:53:20,96,14%,15%,8%,12%,51%,Awake,0,
2023-04-05T10:53:24,100,9%,15%,13%,8%,55%,Awake,0,
2023-04-05T10:53:28,104,14%,16%,10%,9%,52%,Awake,0,
2023-04-05T10:53:32,108,24%,26%,10%,9%,31%,Awake,0,
