CsvFileVersion,11.0[Brief]
ApplicationNameAndVersion,Wave Recorder 1.0.7042 (7042)
SessionStartDateTime,2023-04-05T18:59:56.1069610-07:00
Properties.UserId,d75db12c-d141-4019-8af4-7e516102ed35
Properties.Email,ntfury@arizona.edu
AlgorithmProtocolVersion,DL1.10
EegSignalProcessor.Id,"A1"
MobileDevice.Manufacturer,"Apple"
MobileDevice.Model,"iPhone 12 Pro"
MobileDevice.DeviceType,"Physical"
MobileDevice.VersionString,"16.3.1"

Data Begin: 2023-04-05T18:59:56.1646760-07:00; WAVE-1|94740d5a-283b-5ebf-ebfa-e5684a844f0f; LogicState: Default1
Settings.Version,"4.0"
Time,Seconds,delta%,theta%,alpha%,sigma%,High-beta,SleepStage,EegQuality,Attributes
2023-04-05T19:00:00,4,14%,17%,13%,14%,41%,Awake,0,
2023-04-05T19:00:04,8,11%,22%,15%,15%,37%,Awake,0,
2023-04-05T19:00:08,12,16%,16%,12%,13%,42%,Awake,0,
2023-04-05T19:00:12,16,39%,21%,11%,7%,23%,Awake,0,
2023-04-05T19:00:16,20,22%,23%,15%,11%,29%,Awake,0,
2023-04-05T19:00:20,24,24%,21%,9%,13%,32%,Awake,0,
2023-04-05T19:00:24,28,17%,21%,20%,9%,33%,Awake,0,
2023-04-05T19:00:28,32,36%,25%,11%,6%,22%,Awake,0,
2023-04-05T19:00:32,36,24%,21%,12%,11%,32%,Awake,0,
2023-04-05T19:00:36,40,26%,30%,13%,9%,21%,Awake,0,
2023-04-05T19:00:40,44,15%,17%,13%,8%,46%,Awake,0,
2023-04-05T19:00:44,48,14%,23%,15%,10%,38%,Awake,0,
2023-04-05T19:00:48,52,15%,22%,13%,12%,39%,Awake,0,
2023-04-05T19:00:52,56,14%,14%,15%,12%,45%,Awake,0,
2023-04-05T19:00:56,60,19%,17%,13%,6%,45%,Awake,0,
2023-04-05T19:01:00,64,21%,20%,13%,10%,36%,Awake,0,
2023-04-05T19:01:04,68,18%,17%,7%,9%,48%,Awake,0,
2023-04-05T19:01:08,72,19%,19%,14%,11%,37%,Awake,0,
2023-04-05T19:01:12,76,15%,15%,12%,12%,46%,Awake,0,
2023-04-05T19:01:16,80,18%,11%,13%,11%,47%,Awake,0,
2023-04-05T19:01:20,84,23%,19%,13%,10%,35%,Awake,0,
2023-04-05T19:01:24,88,27%,23%,11%,9%,31%,Awake,0,
2023-04-05T19:01:28,92,26%,31%,13%,6%,24%,Awake,0,
2023-04-05T19:01:32,96,46%,19%,8%,9%,17%,Awake,0,
2023-04-05T19:01:36,100,22%,27%,15%,11%,25%,Awake,0,
2023-04-05T19:01:40,104,19%,17%,12%,9%,45%,Awake,0,
2023-04-05T19:01:44,108,17%,17%,11%,10%,45%,Awake,0,
2023-04-05T19:01:48,112,46%,18%,10%,5%,22%,Awake,0,
2023-04-05T19:01:52,116,32%,14%,12%,12%,31%,Awake,0,
2023-04-05T19:01:56,120,22%,31%,16%,9%,22%,Awake,0,
2023-04-05T19:02:00,124,14%,15%,13%,10%,48%,Awake,0,
2023-04-05T19:02:04,128,16%,12%,12%,11%,50%,Awake,0,
2023-04-05T19:02:08,132,13%,15%,17%,10%,45%,Awake,0,
2023-04-05T19:02:12,136,18%,13%,14%,11%,44%,Awake,0,
2023-04-05T19:02:16,140,18%,15%,12%,13%,41%,Awake,0,
2023-04-05T19:02:20,144,16%,19%,13%,11%,42%,Awake,0,
2023-04-05T19:02:24,148,17%,15%,15%,13%,39%,Awake,0,
2023-04-05T19:02:28,152,16%,18%,15%,10%,40%,Awake,0,
2023-04-05T19:02:32,156,15%,14%,17%,12%,42%,Awake,0,
2023-04-05T19:02:36,160,28%,20%,11%,10%,31%,Awake,0,
2023-04-05T19:02:40,164,16%,25%,14%,7%,38%,Awake,0,
2023-04-05T19:02:44,168,23%,16%,15%,11%,36%,Awake,0,
2023-04-05T19:02:48,172,18%,25%,15%,13%,30%,Awake,0,
2023-04-05T19:02:52,176,16%,16%,17%,12%,39%,Awake,0,
2023-04-05T19:02:56,180,23%,15%,14%,10%,39%,Awake,0,
2023-04-05T19:03:00,184,10%,12%,14%,15%,49%,Awake,0,
2023-04-05T19:03:04,188,27%,18%,13%,10%,32%,Awake,0,
2023-04-05T19:03:08,192,18%,17%,15%,12%,38%,Awake,0,
2023-04-05T19:03:12,196,41%,14%,14%,10%,21%,Awake,0,
2023-04-05T19:03:16,200,25%,19%,16%,11%,29%,Awake,0,
2023-04-05T19:03:20,204,20%,22%,22%,11%,24%,Awake,0,
2023-04-05T19:03:24,208,15%,15%,16%,8%,46%,Awake,0,
2023-04-05T19:03:28,212,14%,13%,13%,15%,45%,Awake,0,
2023-04-05T19:03:32,216,37%,24%,14%,10%,15%,Awake,0,
2023-04-05T19:03:36,220,34%,18%,10%,11%,27%,Awake,0,
2023-04-05T19:03:40,224,30%,29%,9%,7%,24%,Awake,0,
2023-04-05T19:03:44,228,26%,25%,13%,12%,25%,Awake,0,
2023-04-05T19:03:48,232,11%,24%,12%,9%,44%,Awake,0,
2023-04-05T19:03:52,236,14%,28%,17%,10%,31%,Awake,0,
2023-04-05T19:03:56,240,13%,20%,14%,9%,44%,Awake,0,
2023-04-05T19:04:00,244,29%,14%,12%,12%,34%,Awake,0,
2023-04-05T19:04:04,248,15%,17%,17%,10%,40%,Awake,0,
2023-04-05T19:04:08,252,12%,28%,19%,13%,28%,Awake,0,
2023-04-05T19:04:12,256,17%,14%,15%,12%,42%,Awake,0,
2023-04-05T19:04:16,260,15%,19%,11%,13%,43%,Awake,0,
2023-04-05T19:04:20,264,11%,18%,17%,9%,45%,Awake,0,
2023-04-05T19:04:24,268,19%,10%,15%,12%,44%,Awake,0,
2023-04-05T19:04:28,272,17%,24%,13%,11%,35%,Awake,0,
2023-04-05T19:04:32,276,16%,13%,19%,12%,40%,Awake,0,
2023-04-05T19:04:36,280,22%,17%,14%,8%,39%,Awake,0,
2023-04-05T19:04:40,284,18%,21%,15%,8%,38%,Awake,0,
2023-04-05T19:04:44,288,50%,19%,8%,5%,18%,Awake,0,
2023-04-05T19:04:48,292,25%,23%,17%,7%,27%,Awake,0,
2023-04-05T19:04:52,296,24%,19%,15%,9%,33%,Awake,0,
2023-04-05T19:04:56,300,18%,20%,10%,12%,40%,Unknown,0,
2023-04-05T19:05:00,304,17%,16%,12%,6%,49%,Unknown,0,
2023-04-05T19:05:04,308,12%,17%,14%,10%,47%,Unknown,0,
2023-04-05T19:05:08,312,18%,12%,13%,8%,48%,Unknown,0,
2023-04-05T19:05:12,316,17%,17%,17%,8%,41%,Unknown,0,
2023-04-05T19:05:16,320,14%,12%,14%,10%,51%,Unknown,0,
2023-04-05T19:05:20,324,47%,27%,6%,5%,15%,Unknown,0,
2023-04-05T19:05:24,328,21%,21%,15%,12%,31%,Unknown,0,
2023-04-05T19:05:28,332,17%,17%,11%,6%,49%,Unknown,0,
2023-04-05T19:05:32,336,17%,29%,17%,10%,27%,Unknown,0,
2023-04-05T19:05:36,340,10%,12%,16%,12%,50%,Unknown,0,
2023-04-05T19:05:40,344,10%,14%,13%,12%,52%,Unknown,0,
2023-04-05T19:05:44,348,11%,19%,11%,13%,46%,Unknown,0,
2023-04-05T19:05:48,352,13%,14%,18%,10%,46%,Unknown,0,
2023-04-05T19:05:52,356,14%,22%,14%,16%,34%,Awake,0,
2023-04-05T19:05:56,360,16%,18%,18%,11%,37%,Awake,0,
2023-04-05T19:06:00,364,31%,31%,13%,8%,17%,Awake,0,
2023-04-05T19:06:04,368,42%,21%,11%,9%,17%,Awake,0,
2023-04-05T19:06:08,372,20%,16%,13%,10%,42%,Awake,0,
2023-04-05T19:06:12,376,17%,28%,11%,12%,32%,Awake,0,
2023-04-05T19:06:16,380,11%,18%,12%,9%,49%,Awake,0,
2023-04-05T19:06:20,384,10%,27%,15%,11%,37%,Awake,0,
2023-04-05T19:06:24,388,17%,14%,13%,9%,46%,Awake,0,
2023-04-05T19:06:28,392,13%,11%,11%,11%,53%,Awake,0,
2023-04-05T19:06:32,396,18%,13%,16%,11%,42%,Awake,0,
2023-04-05T19:06:36,400,11%,16%,10%,8%,55%,Awake,0,
2023-04-05T19:06:40,404,11%,13%,12%,11%,54%,Awake,0,
2023-04-05T19:06:44,408,10%,17%,12%,8%,53%,Awake,0,
2023-04-05T19:06:48,412,14%,18%,13%,9%,46%,Awake,0,
2023-04-05T19:06:52,416,11%,13%,13%,11%,52%,Awake,0,
2023-04-05T19:06:56,420,13%,15%,12%,11%,49%,Awake,0,
2023-04-05T19:07:00,424,15%,26%,15%,10%,33%,Awake,0,
2023-04-05T19:07:04,428,10%,17%,11%,12%,51%,Awake,0,
2023-04-05T19:07:08,432,9%,17%,16%,11%,47%,Awake,0,
2023-04-05T19:07:12,436,9%,15%,11%,10%,55%,Awake,0,
2023-04-05T19:07:16,440,10%,11%,13%,12%,54%,Awake,0,
2023-04-05T19:07:20,444,12%,13%,14%,9%,51%,Awake,0,
2023-04-05T19:07:24,448,13%,18%,12%,8%,49%,Awake,0,
2023-04-05T19:07:28,452,9%,18%,18%,12%,43%,Awake,0,
2023-04-05T19:07:32,456,13%,18%,12%,8%,49%,Awake,0,
2023-04-05T19:07:36,460,11%,13%,18%,9%,49%,Awake,0,
2023-04-05T19:07:40,464,16%,20%,13%,11%,40%,Awake,0,
2023-04-05T19:07:44,468,18%,13%,18%,8%,43%,Awake,0,
2023-04-05T19:07:48,472,15%,12%,12%,9%,52%,Awake,0,
2023-04-05T19:07:52,476,10%,18%,12%,9%,50%,Awake,0,
2023-04-05T19:07:56,480,17%,14%,14%,11%,45%,Awake,0,
2023-04-05T19:08:00,484,14%,13%,13%,10%,50%,Awake,0,
2023-04-05T19:08:04,488,20%,15%,15%,8%,41%,Awake,0,
2023-04-05T19:08:08,492,39%,13%,8%,14%,27%,Awake,0,
2023-04-05T19:08:12,496,25%,19%,17%,13%,26%,Awake,0,
2023-04-05T19:08:16,500,22%,20%,22%,11%,25%,Awake,0,
2023-04-05T19:08:20,504,23%,25%,14%,9%,29%,Awake,0,
2023-04-05T19:08:24,508,14%,21%,10%,14%,42%,Awake,0,
2023-04-05T19:08:28,512,25%,17%,17%,9%,32%,Awake,0,
2023-04-05T19:08:32,516,15%,15%,23%,16%,32%,Awake,0,
2023-04-05T19:08:36,520,16%,21%,15%,13%,34%,Awake,0,
2023-04-05T19:08:40,524,27%,26%,12%,10%,25%,Awake,0,
2023-04-05T19:08:44,528,31%,24%,12%,9%,23%,Awake,0,
2023-04-05T19:08:48,532,11%,18%,14%,10%,47%,Awake,0,
2023-04-05T19:08:52,536,28%,19%,11%,13%,29%,Awake,0,
2023-04-05T19:08:56,540,24%,24%,14%,11%,27%,Awake,0,
2023-04-05T19:09:00,544,9%,18%,15%,11%,46%,Awake,0,
2023-04-05T19:09:04,548,13%,18%,13%,11%,45%,Awake,0,
2023-04-05T19:09:08,552,10%,21%,13%,11%,45%,Awake,0,
2023-04-05T19:09:12,556,15%,21%,11%,8%,44%,Awake,0,
2023-04-05T19:09:16,560,9%,22%,15%,16%,38%,Awake,0,
2023-04-05T19:09:20,564,12%,16%,15%,8%,50%,Awake,0,
2023-04-05T19:09:24,568,18%,18%,11%,16%,37%,Awake,0,
2023-04-05T19:09:28,572,20%,28%,14%,17%,21%,Awake,0,
2023-04-05T19:09:32,576,8%,19%,15%,13%,45%,Awake,0,
2023-04-05T19:09:36,580,12%,19%,12%,8%,49%,Awake,0,
2023-04-05T19:09:40,584,17%,29%,12%,12%,30%,Awake,0,
